Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
For how long was Ford a member of the House of Representatives?,Ford served for over eight years as the Republican Minority Leader of the United States House of Representatives,medium,medium
What do zebras eat?,mainly grass,medium,hard
Is it true that coulomb leaves a legacy as a hero?,yes,,easy
Where is the largest gray wolf population thought to be found?,Kazakhstan,medium,medium
In what year did East Timor secede from Indonesia?,1999,medium,medium
What is Amedeo Avogadro`s first name?,Amedeo,,hard
Is singapore the 17th wealthiest country in the world in terms of gdp per capita?,No,,easy
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",yes,easy,easy
Who suggested Lincoln grow a beard?,Grace Bedell.,hard,medium
Are lobsters kosher?,No,easy,easy
Over how many languages are spoken in London?,Over 300 languages are spoken in london,medium,medium
What are most electric guitar bodies made of?,wood,medium,medium
Does Qatar rank as the eighth richest country in the world per capita?,no,easy,easy
What subject did Avogadro study first?,ecclesiastical law,hard,hard
How many siblings did Nikola Tesla have?,Nikola Tesla had four siblings.,hard,hard
Are there also large populations of German ancestry In Mexico?,yes,,medium
Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?,after,hard,hard
Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,Yes,easy,medium
"Is San Francisco also the financial, cultural, and transportation center of the larger San Francisco Bay Area, a region of 7.4 million people?",yes,,easy
What shape are the eggs of the larest species of turtle?,Spherical,medium,medium
How do giraffes defend themselves?,with a powerful kick,medium,medium
Was Qatar University founded in 1973 ?,Yes,,easy
Is the collective form octopus usually reserved for animals consumed for food?,Yes,,easy
Was the xylophone associated with the folk music of the United States by the 19th century?,No.,easy,medium
What happened in the early 20th century?,The koalas of South Australia were largely exterminated.,,medium
What is the smallest species of fox?,The Fennec Fox is the smallest species of fox. ,medium,medium
How many townships are in Ottawa?,eleven,medium,easy
Is the Polar Bear the mascot of Bowdoin college ?,yes,,easy
What is cause of polar bear's skin diseases?,mites or other parasites,hard,medium
What position is used to play the cello?,a gamba,medium,hard
What happened on plants and fungi?,They are food to beetles.,,hard
"If Charles-Augustin de Coulomb was alive today, how old would he have been?",273,,hard
What is the population of Copenhagen?,"1,161,063",easy,medium
Are cymbals used in moden orchestras?,Yes,easy,easy
What is an example of something an octopus learned in a research experiment?,"In research experiments, octopus can be trained to distinguish between different shapes and patterns.",hard,hard
What is the primary item in an otter's diet?,Fish.,medium,medium
Why are penguins countershaded?,for camouflage,medium,hard
Is Calvin Jr. older than John Coolidge?,No,hard,hard
Is a polar bear white in color?,Yes,easy,easy
Do picks come in many shapes and sizes?,Yes,easy,easy
Who was Faraday's wife?,Sarah Barnard,medium,hard
What was from Pennsylvania?,His father,,medium
Is the bass trumpet the smallest trumpet?,No,easy,hard
Are ants used in cuisine?,yes,easy,easy
Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.,,easy
Was Amedeo Avogadro born in North America?,no,,hard
Why wasn't Romania neutral during World War II?,it received a Soviet ultimatum,hard,hard
Wasn't Leonardo da Vinci valued as an engineer?,no,,medium
Give an example of the largest two-year community colleges in the country. ,The City College of San Francisco.,,hard
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,hard,hard
Is Berlin the largest city in Germany?,yes,easy,easy
What family is Malay a member of?,Austronesian family,medium,medium
Is Uruguay located in the northwesten part of Africa?,no,easy,medium
How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",hard,medium
Did James Watt improve an engine?,Yes,easy,easy
Had Ford's wife married before?,No,hard,hard
Is the electrolyte sulphuric acid?,Yes,,easy
"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?",no,,easy
What is the MRT?,One of three heavy rail passenger transport lines in Singapore.,medium,medium
How many times has Uruguay won the World Cup?,On two or more occasions.,hard,hard
How can an octopus defend against predators?,"To defend against predators, an octopus can hide, flee quickly, expel ink, or use color-changing camouflage.",hard,medium
Is James Watt French?,"No, he was Scottish.",easy,easy
Is a trumpet played by blowing air through closed lips?,Yes,easy,easy
Is English the official language?,Yes,easy,easy
Who or what vary greatly in form within the coleoptera?,Antennae.,,easy
Where was Theodore Roosevelt from?,New York City,medium,medium
Where is the National Orchid Garden?,Singapore Botanic Gardens.,medium,medium
Was Alessandro Volta taught in public schools?,Yes,easy,easy
What completed in November?,the Kunstmuseum Liechtenstein,,medium
Did Wilson support the committee system?,No.,hard,hard
Is santiago Spanish for St. James?,Yes,,easy
Is turtle soup considered a delicacy?,No.,hard,easy
How much do wolves weigh?,typically varies between 32 and 62 kilograms,medium,medium
Is Swahili a Bantu language?,"Yes, Swahili is a Bantu language.",easy,easy
Where is the headstock located?,At the end of the guitar.,medium,medium
"Regarding this topic, what did David Alfaro Siqueiros do?",Pollock was introduced to the use of liquid paint in 1936 at an experimental workshop operated in New York City by the Mexican muralist David Alfaro Siqueiros.,,easy
What do all turtles and tortoises breathe?,air,medium,medium
Why did Bequerel win the Nobel Prize in Physics?,discovery of spontaneous radioactivity,hard,hard
Do penguins have a better than average sense of hearing for birds?,yes,easy,easy
Can some cylindrical shell drums have no drum heads?,no,hard,hard
When did James Monroe graduate from William and Mary?,1776,easy,medium
Did ford attend the University of Michigan?,Yes,easy,easy
Where was Volta born?,Como,medium,medium
Are Kangaroos Shy?,Yes,easy,easy
Could Blaise Pascal move without crutches?,no,easy,hard
How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.,hard,hard
Do singaporeans enjoy squid?,"Yes, they do.",easy,easy
What body of water lies to the south of Finland?,Archipelago Sea,hard,hard
Where are the only surviving giant tortoises?,Seychelles and Gal�pagos Islands,medium,easy
With what party did Adams run for presidency?,The Federalist Party,medium,medium
"Can the title of this famous 1811 paper be roughly translated into English as ""essay on determining the Relative Masses of the Elementary Molecules of Bodies"" ?",Yes.,,easy
Is the flute a musical instrument?,Yes,easy,easy
For how many years of James Watt's life was his mother alive?,17 years,hard,hard
Is Berlin the capital city of Germany?,yes,easy,easy
Was Volta made a count in 1810?,yes,easy,easy
What is an otter's den called?,holt,medium,medium
What would a German call Avogadro's number?,Loschmidt number,hard,medium
Was Volta an Italian physicist?,yes,easy,easy
Do sea otters have long muscular tails?,No,easy,medium
Is Malay an agglutinative language?,Yes,easy,easy
Is the Red River Delta traditionally poor?,Yes.,hard,easy
Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,yes,,easy
How many years ago was it when he became the third in his family to occupy the physics chair at the Musum National d`Histoire Naturelle?,117,,hard
What is the center of a cymbal called?,Bell,medium,medium
Who was a member of the Sandemanian sect of Christianity?,yes,medium,easy
What is Monroe's father's name?,Spence Monroe.,medium,medium
Is modern Korean written in columns or rows?,It is written in rows.,medium,hard
What is the boiling point of water dependent on?,atmospheric pressure,medium,medium
Is Swahili spoken in Mozambique?,yes,medium,hard
Did Wilson support desegregation?,Not in the slightest.,hard,hard
Was Abraham Lincoln the sixteenth President of the United States?,yes,easy,easy
Was Liechtenstein completed in November 2000?,No,,medium
When do bumblebee colonies reach peak population?,mid to late summer,medium,medium
When was the pan flute used in Greece?,7th century BC,medium,medium
Is there a programming language called Pascal?,Yes.,hard,easy
Was Roosevelt's family rich?,yes,hard,hard
Was Indonesia named after it became an independent country?,No,hard,hard
Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.,,easy
Why is a police whistle very wide for its pitch?,A flute's volume can generally be increased by making its resonator and tone holes larger,hard,medium
Would it be common for tigers to mate in January?,Yes.,hard,hard
Do sea otters have a layer of fat like whales?,No,hard,hard
